left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ICD10_H16.0	Corneal ulcer	HP:0012804	Corneal ulceration	label	hasExactSynonym	Corneal ulcer	Corneal ulcer	90.0	0.5	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_M26.01	Maxillary hyperplasia	HP:0430028	Hyperplasia of the maxilla	label	hasExactSynonym	Maxillary hyperplasia	Maxillary hyperplasia	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_L94.6	Ainhum	HP:0031009	Ainhum	label	label	Ainhum	Ainhum	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_I44.4	Left anterior fascicular block	HP:0011711	Left anterior fascicular block	label	label	Left anterior fascicular block	Left anterior fascicular block	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_R47.81	Slurred speech	HP:0001350	Slurred speech	label	label	Slurred speech	Slurred speech	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_Q17.5	Prominent ear	HP:0000411	Protruding ear	label	hasExactSynonym	Prominent ear	Prominent ear	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_Q25.3	Supravalvular aortic stenosis	HP:0004381	Supravalvular aortic stenosis	label	label	Supravalvular aortic stenosis	Supravalvular aortic stenosis	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_Q79.0	Congenital diaphragmatic hernia	HP:0000776	Congenital diaphragmatic hernia	label	label	Congenital diaphragmatic hernia	Congenital diaphragmatic hernia	100.0	0.5	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_H05.4	Enophthalmos	HP:0000490	Deeply set eye	label	hasExactSynonym	Enophthalmos	Enophthalmos	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_F31	bipolar disorder	HP:0007302	Bipolar affective disorder	label	hasExactSynonym	bipolar disorder	Bipolar disorder	90.0	0.5	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_Q26.2	Total anomalous pulmonary venous connection	HP:0005160	Total anomalous pulmonary venous return	label	hasExactSynonym	Total anomalous pulmonary venous connection	Total anomalous pulmonary venous connection	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_I70	Atherosclerosis	HP:0002621	Atherosclerosis	label	label	Atherosclerosis	Atherosclerosis	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_K82.2	Perforation of gallbladder	HP:0030154	Gallbladder perforation	label	label	Perforation of gallbladder	Gallbladder perforation	85.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_N17.N19	Renal failure	HP:0000083	Renal insufficiency	label	hasExactSynonym	Renal failure	Renal failure	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_P94.2	Congenital hypotonia	HP:0006830	Severe neonatal hypotonia in males	label	hasRelatedSynonym	Congenital hypotonia	Congenital hypotonia	50.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_L72.1	Trichilemmal cyst	HP:0025246	Trichilemmal cyst	label	label	Trichilemmal cyst	Trichilemmal cyst	100.0	0.5	1.0	0	0.5263157894736842	3
http://purl.obolibrary.org/obo/ICD10_P75	Meconium ileus	HP:0004401	Meconium ileus	label	label	Meconium ileus	Meconium ileus	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_J44	chronic obstructive pulmonary disease	HP:0006510	Chronic obstructive pulmonary disease	label	label	chronic obstructive pulmonary disease	Chronic obstructive pulmonary disease	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_M26.02	Maxillary hypoplasia	HP:0000327	Hypoplasia of the maxilla	label	hasExactSynonym	Maxillary hypoplasia	Maxillary hypoplasia	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_L65.1	Anagen effluvium	HP:0025469	Anagen effluvium	label	label	Anagen effluvium	Anagen effluvium	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_R82.4	Acetonuria	HP:0002919	Ketonuria	label	hasRelatedSynonym	Acetonuria	Acetonuria	50.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_N18.1	Chronic kidney disease, stage 1	HP:0012623	Stage 1 chronic kidney disease	label	label	Chronic kidney disease, stage 1	Stage 1 chronic kidney disease	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_R19.12	Hyperactive bowel sounds	HP:0030143	Hyperactive bowel sounds	label	label	Hyperactive bowel sounds	Hyperactive bowel sounds	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_I45.81	Long QT syndrome	HP:0001657	Prolonged QT interval	label	hasExactSynonym	Long QT syndrome	Long QT syndrome	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_A50.52	Hutchinson's teeth	HP:0012413	Notched primary central incisor	label	hasRelatedSynonym	Hutchinson's teeth	Hutchinson's teeth	50.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_J94.2	Hemothorax	HP:0012151	Hemothorax	label	label	Hemothorax	Hemothorax	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_L05	pilonidal abscess	HP:0010771	Pilonidal abscess	label	label	pilonidal abscess	Pilonidal abscess	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_R09.2	Respiratory arrest	HP:0005943	Respiratory arrest	label	label	Respiratory arrest	Respiratory arrest	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_N45.1	Epididymitis	HP:0000031	Epididymitis	label	label	Epididymitis	Epididymitis	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_Q75.2	Hypertelorism	HP:0000316	Hypertelorism	label	label	Hypertelorism	Hypertelorism	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_H52.1	Myopia	HP:0000545	Myopia	label	label	Myopia	Myopia	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_A85	encephalitis	HP:0002383	Encephalitis	label	label	encephalitis	Encephalitis	100.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ICD10_K20	esophagitis	HP:0100633	Esophagitis	label	label	esophagitis	Esophagitis	100.0	1.0	1.0	4	1.0	2
