GARD:0000001 ! GRACILE syndrome	ORPHANET:53693	OMIM:603358 ! GRACILE syndrome
GARD:0000003 ! Ablepharon macrostomia syndrome	ORPHANET:920	OMIM:200110 ! Ablepharon macrostomia syndrome
GARD:0000005 ! Abetalipoproteinemia	ORPHANET:14	OMIM:200100 ! abetalipoproteinemia
GARD:0000006 ! Acromesomelic dysplasia	OMIM:602875 ! acromesomelic dysplasia, Maroteaux type	DOID:0080049 ! acromesomelic dysplasia
GARD:0000006 ! Acromesomelic dysplasia	ORPHANET:93437	DOID:0080049 ! acromesomelic dysplasia
GARD:0000007 ! Acromicric dysplasia	ORPHANET:969	OMIM:102370 ! Acromicric dysplasia
GARD:0000011 ! Alternating hemiplegia of childhood	ORPHANET:2131	DOID:0050635 ! alternating hemiplegia of childhood
GARD:0000012 ! Hypersensitivity pneumonitis	ORPHANET:31740	DOID:841 ! extrinsic allergic alveolitis,OMIM:145300 ! Hypersensitivity Pneumonitis, Familial
GARD:0000012 ! Hypersensitivity pneumonitis	UMLS:C0002390	DOID:841 ! extrinsic allergic alveolitis,OMIM:145300 ! Hypersensitivity Pneumonitis, Familial
GARD:0000013 ! Gillespie syndrome	ORPHANET:1065	OMIM:206700 ! Aniridia, Cerebellar Ataxia, and Mental Retardation,Orphanet:1065 ! Aniridia - cerebellar ataxia - intellectual disability
GARD:0000016 ! Oculomotor apraxia Cogan type	ORPHANET:1125	MESH:D003128 ! Coma,OMIM:257550 ! Ocular Motor Apraxia,Orphanet:1125 ! Ocular motor apraxia, Cogan type
GARD:0000017 ! Arachnoid cysts	ORPHANET:2356	OMIM:207790 ! Arachnoid Cysts, Intracranial,Orphanet:2356 ! Arachnoid cyst
GARD:0000019 ! Dihydropyrimidine dehydrogenase deficiency	ORPHANET:1675	OMIM:274270 ! dihydropyrimidine dehydrogenase deficiency
GARD:0000022 ! Bjornstad syndrome	ORPHANET:123	OMIM:262000 ! Bjornstad syndrome
GARD:0000022 ! Bjornstad syndrome	UMLS:C0266006	OMIM:262000 ! Bjornstad syndrome
GARD:0000023 ! Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1	ORPHANET:126	MESH:C536233 ! Blepharophimosis syndrome type 1,OMIM:110100 ! blepharophimosis, ptosis, and epicanthus inversus syndrome
GARD:0000023 ! Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1	UMLS:C2931135	MESH:C536233 ! Blepharophimosis syndrome type 1,OMIM:110100 ! blepharophimosis, ptosis, and epicanthus inversus syndrome
GARD:0000026 ! Cat eye syndrome	ORPHANET:195	OMIM:115470 ! Cat-eye syndrome
GARD:0000027 ! Cat scratch disease	ORPHANET:50839	DOID:11258 ! cat-scratch disease
GARD:0000028 ! Catel Manzke syndrome	ORPHANET:1388	MESH:C535347 ! Catel Manzke syndrome,OMIM:616145 ! Catel-Manzke Syndrome,Orphanet:1388 ! Catel-Manzke syndrome
GARD:0000029 ! CHARGE syndrome	ORPHANET:138	OMIM:214800 ! CHARGE syndrome
GARD:0000029 ! CHARGE syndrome	UMLS:C0265354	OMIM:214800 ! CHARGE syndrome
GARD:0000031 ! Serpiginous choroiditis	ORPHANET:35686	Orphanet:35686 ! Serpiginous choroiditis
GARD:0000035 ! Chromosome 18p tetrasomy	ORPHANET:3307	MESH:C538306 ! Chromosome 18, tetrasomy 18p,OMIM:614290 ! Tetrasomy 18p
GARD:0000039 ! WT limb blood syndrome	ORPHANET:3466	OMIM:194350 ! WT limb-blood syndrome
GARD:0000042 ! Tetrasomy 9p	ORPHANET:3310	Orphanet:3310 ! Tetrasomy 9p
GARD:0000044 ! Haim-Munk syndrome	ORPHANET:2342	OMIM:245010 ! Haim-Munk syndrome
GARD:0000045 ! Congenital varicella syndrome	ORPHANET:291	Orphanet:291 ! Fetal varicella syndrome
GARD:0000045 ! Congenital varicella syndrome	UMLS:C0343560	Orphanet:291 ! Fetal varicella syndrome
GARD:0000046 ! Corticobasal degeneration	ORPHANET:278	Orphanet:278 ! Corticobasal degeneration
GARD:0000047 ! Crigler Najjar syndrome, type 1	ORPHANET:79234	OMIM:218800 ! Crigler-Najjar syndrome type 1
