GARD:0000004 ! Acanthocheilonemiasis	MESH:D063485 ! Acanthocheilonemiasis
GARD:0000130 ! Florid cystic endosalpingiosis of the uterus	MESH:C537064 ! Florid cystic endosalpingiosis of the uterus
GARD:0000149 ! Prostatic malacoplakia associated with prostatic abscess	MESH:C537244 ! Prostatic malacoplakia associated with prostatic abscess
GARD:0000151 ! Samson Gardner syndrome	MESH:C537230 ! Samson Gardner syndrome
GARD:0000152 ! Samson Viljoen syndrome	MESH:C537231 ! Samson Viljoen syndrome
GARD:0000153 ! Sanderson Fraser syndrome	MESH:C537232 ! Sanderson Fraser syndrome
GARD:0000154 ! Sandhaus Ben-Ami syndrome	MESH:C537233 ! Sandhaus Ben-Ami syndrome
GARD:0000161 ! Saul Wilkes Stevenson syndrome	MESH:C536617 ! Saul Wilkes Stevenson syndrome
GARD:0000171 ! Le Marec Bracq Picaud syndrome	MESH:C536997 ! Le Marec Bracq Picaud syndrome
GARD:0000174 ! Macrogyria, pseudobulbar palsy and mental retardation	MESH:C537722 ! Macrogyria, pseudobulbar palsy and mental retardation
GARD:0000189 ! Elliott Ludman Teebi syndrome	MESH:C536204 ! Elliott Ludman Teebi syndrome
GARD:0000191 ! Kashani Strom Utley syndrome	MESH:C537010 ! Kashani Strom Utley syndrome
GARD:0000196 ! St Anthony's fire	MESH:D004881 ! Ergotism
GARD:0000200 ! Central serous chorioretinopathy	MESH:D056833 ! Central Serous Chorioretinopathy
GARD:0000204 ! Dieterich's disease	MESH:C536172 ! Dieterich's disease
GARD:0000208 ! Giant mammary hamartoma	MESH:C536818 ! Giant mammary hamartoma
GARD:0000210 ! Ruzicka Goerz Anton syndrome	MESH:C537192 ! Ruzicka Goerz Anton syndrome
GARD:0000253 ! Schwartz Cohen-Addad Lambert syndrome	MESH:C535835 ! Schwartz Cohen-Addad Lambert syndrome
GARD:0000255 ! Schlegelberger Grote syndrome	MESH:C536635 ! Schlegelberger Grote syndrome
GARD:0000256 ! Schrander-Stumpel Theunissen Hulsmans syndrome	MESH:C536639 ! Schrander-Stumpel Theunissen Hulsmans syndrome
GARD:0000303 ! Jeune syndrome situs inversus	MESH:C537572 ! Jeune syndrome situs inversus
GARD:0000311 ! Saal Bulas syndrome	MESH:C537193 ! Saal Bulas syndrome
GARD:0000315 ! Sackey Sakati Aur syndrome	MESH:C537219 ! Sackey Sakati Aur syndrome
GARD:0000317 ! Sacral hemangiomas multiple congenital abnormalities	MESH:C537222 ! Sacral hemangiomas multiple congenital abnormalities
GARD:0000324 ! Slti Salem syndrome	MESH:C536673 ! Slti Salem syndrome
GARD:0000328 ! Wandering spleen	MESH:D050805 ! Wandering Spleen
GARD:0000338 ! Zerres Rietschel Majewski syndrome	MESH:C536724 ! Zerres Rietschel Majewski syndrome
GARD:0000339 ! Zazam Sheriff Phillips syndrome	MESH:C536723 ! Zazam Sheriff Phillips syndrome
GARD:0000340 ! Zadik Barak Levin syndrome	MESH:C536721 ! Zadik Barak Levin syndrome
GARD:0000349 ! Neuroaxonal dystrophy renal tubular acidosis	MESH:C537386 ! Neuroaxonal dystrophy renal tubular acidosis
GARD:0000353 ! Kozlowski Warren Fisher syndrome	MESH:C537614 ! Kozlowski Warren Fisher syndrome
GARD:0000366 ! Arnold Stickler Bourne syndrome	MESH:C537431 ! Arnold Stickler Bourne syndrome
GARD:0000392 ! Weinstein Kliman Scully syndrome	MESH:C536688 ! Weinstein Kliman Scully syndrome
GARD:0000398 ! Bagatelle Cassidy syndrome	MESH:C537796 ! Bagatelle Cassidy syndrome
GARD:0000417 ! Aloi Tomasini Isaia syndrome	MESH:C537049 ! Aloi Tomasini Isaia syndrome
GARD:0000439 ! Abdominal cystic lymphangioma	MESH:C535553 ! Abdominal cystic lymphangioma
