ORDR ID:			Disease Name:	Synonym(s):	OMIM Num(s):	Orphanet Num(s):	URL:
1			GRACILE syndrome	"Fellman disease;Fellman syndrome;Finnish lactic acidosis with hepatic hemosiderosis;Finnish lethal neonatal metabolic syndrome;FLNMS;Growth delay - aminoaciduria - cholestasis - iron overload - lactic acidosis - early death;Growth restriction - aminoaciduria - cholestasis - iron overload - lactic acidosis - early death;Growth Retardation, Aminoaciduria, Cholestasis, Iron overload, Lactic acidosis and Early death"	603358	53693	http://rarediseases.info.nih.gov/gard/1/GRACILE-syndrome/resources/1
3			Ablepharon macrostomia syndrome	"AMS;Congenital ablepharon, absent eyelashes/eyebrows, macrostomia, auricular, nasal, genital and other systemic anomalies"	200110	920	http://rarediseases.info.nih.gov/gard/3/Ablepharon-macrostomia-syndrome/resources/1
4			Acanthocheilonemiasis	Acanthocheilonema perstans infection;Dipetalonema infections;Dipetalonemiasis;Mansonella perstans			http://rarediseases.info.nih.gov/gard/4/Acanthocheilonemiasis/resources/1
5			Abetalipoproteinemia	Abetalipoproteinemia neuropathy;ABL;Apolipoprotein B deficiency;Bassen Kornzweig syndrome;Betalipoprotein deficiency disease;Congenital betalipoprotein deficiency syndrome;Low-density beta lipoprotein deficiency;Microsomal triglyceride transfer protein deficiency disease;Microsomal-triglyceride transfer protein deficiency	200100	14	http://rarediseases.info.nih.gov/gard/5/Abetalipoproteinemia/resources/1
6			Acromesomelic dysplasia	Acromesomelic dwarfism	602875	93437	http://rarediseases.info.nih.gov/gard/6/Acromesomelic-dysplasia/resources/1
7			Acromicric dysplasia	Acromicric skeletal dysplasia	102370	969	http://rarediseases.info.nih.gov/gard/7/Acromicric-dysplasia/resources/1
8			Agnosia	Monomodal visual amnesia;Primary visual agnosia;Visual amnesia			http://rarediseases.info.nih.gov/gard/8/Agnosia/resources/1
11			Alternating hemiplegia of childhood	AHC;Alternating hemiplegia;Alternating hemiplegia in childhood;Alternating hemiplegia syndrome	104290	2131	http://rarediseases.info.nih.gov/gard/11/Alternating-hemiplegia-of-childhood/resources/1
12			"Alveolitis, extrinsic allergic"	"Allergic interstitial pneumonitis;Allergic pneumonitis;Alveolitis, extrinsic allergic;Extrinsic allergic pneumonia hypersensitivity Pneumonitis;Hypersensitivity pneumonitis"		31740	"http://rarediseases.info.nih.gov/gard/12/Alveolitis,-extrinsic-allergic/resources/1"
13			Gillespie syndrome	"Aniridia, cerebellar ataxia and mental deficiency;Aniridia-cerebellar ataxia-intellectual disability syndrome"	206700	1065	http://rarediseases.info.nih.gov/gard/13/Gillespie-syndrome/resources/1
16			Oculomotor apraxia Cogan type	"Cogan's syndrome type 2;COMA;Congenital oculomotor apraxia;Ocular motor apraxia, Cogan type;Oculomotor apraxia, Cogan type;Saccade initiation failure congenital"	257550	1125	http://rarediseases.info.nih.gov/gard/16/Oculomotor-apraxia-Cogan-type/resources/1
17			Arachnoid cysts	"Arachnoid cyst;Arachnoid cysts, intracranial;Intracranial arachnoid cysts"	207790	2356	http://rarediseases.info.nih.gov/gard/17/Arachnoid-cysts/resources/1
19			Dihydropyrimidine dehydrogenase deficiency	DPD deficiency;Familial pyrimidinemia;Hereditary thymine-uraciluria	274270	1675	http://rarediseases.info.nih.gov/gard/19/Dihydropyrimidine-dehydrogenase-deficiency/resources/1
20			Barrett esophagus	Barrett syndrome;Barrett ulcer;Barrett's esophagus;Chronic peptic ulcer and esophagitis syndrome;Columnar-like esophagus;Esophagitis-peptic ulcer		1232	http://rarediseases.info.nih.gov/gard/20/Barrett-esophagus/resources/1
22			Bjornstad syndrome	"Björnstad syndrome;BJS;Deafness - pili torti - hypogonadism;Deafness and pili torti, Bjornstad type;Pili torti and nerve deafness;Pili torti-sensorineural hearing loss;PTND"	262000	123	http://rarediseases.info.nih.gov/gard/22/Bjornstad-syndrome/resources/1
23			"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1"	"Blepharophimosis - epicanthus inversus - ptosis;Blepharophimosis syndrome type 1;Blepharophimosis types 1 and 2;Blepharophimosis, ptosis, epicanthus inversus with ovarian failure;BPES type 1;BPES with premature ovarian failure"	110100	126	"http://rarediseases.info.nih.gov/gard/23/Blepharophimosis,-ptosis,-and-epicanthus-inversus-syndrome-type-1/resources/1"
26			Cat eye syndrome	Cat-eye syndrome;CES;Chromosome 22 inversion/duplication;Chromosome 22 partial tetrasomy;INV DUP(22)(Q11);Ocular coloboma - imperforate anus;Schmid-Fraccaro syndrome	115470	195	http://rarediseases.info.nih.gov/gard/26/Cat-eye-syndrome/resources/1
27			Cat scratch disease	Bartonellosis due to Bartonella henselae infection;Cat scratch fever;Cat-scratch disease		50839	http://rarediseases.info.nih.gov/gard/27/Cat-scratch-disease/resources/1
28			Catel Manzke syndrome	"Catel-Manzke syndrome;Hyperphalangy-clinodactyly of index finger with Pierre Robin syndrome;Index finger anomaly - Pierre Robin syndrome;Index finger anomaly with Pierre Robin syndrome;Micrognathia digital syndrome;Palatodigital syndrome Catel-Manzke type;Palatodigital syndrome, Catel-Manzke type;Pierre Robin sequence - hyperphalangy - clinodactyly;Pierre Robin syndrome - hyperphalangy - clinodactyly;Pierre Robin syndrome with hyperphalangy and clinodactyly"	302380	1388	http://rarediseases.info.nih.gov/gard/28/Catel-Manzke-syndrome/resources/1
29			CHARGE syndrome	"CHARGE association;Coloboma - heart defects - atresia choanae - retardation of growth and development - genitourinary problems - ear abnormalities;Coloboma, heart anomaly, choanal atresia, retardation, genital and ear anomalies;Hall-Hittner syndrome"	214800	138	http://rarediseases.info.nih.gov/gard/29/CHARGE-syndrome/resources/1
30			Cholecystitis	Acalculous cholecystitis;Gallstone cholecystitis			http://rarediseases.info.nih.gov/gard/30/Cholecystitis/resources/1
31			Serpiginous choroiditis	Geographic choroiditis;Geographic helicoid peripapillary choroidopathy;Geographic helicoid peripapillary choroidopathy (GHPC);Geographic serpiginous choroiditis;Peripapillary choriopathy;Serpiginous choroidopathy		35686	http://rarediseases.info.nih.gov/gard/31/Serpiginous-choroiditis/resources/1
35			Chromosome 18p tetrasomy	Isochromosome 18p;Tetrasomy 18p;Tetrasomy chromosome 18p		3307	http://rarediseases.info.nih.gov/gard/35/Chromosome-18p-tetrasomy/resources/1
37			Chromosome 3p deletion	3p deletion;3p monosomy;Deletion 3p;Monosomy 3p;Partial monosomy 3p			http://rarediseases.info.nih.gov/gard/37/Chromosome-3p-deletion/resources/1
39			WT limb blood syndrome	Radial-ulnar hypoplasia with bone marrow failure and/or leukemia;WT limb-blood syndrome;WTsyndrome	194350	3466	http://rarediseases.info.nih.gov/gard/39/WT-limb-blood-syndrome/resources/1
42			Tetrasomy 9p	Chromosome 9p tetrasomy;Isochromosome 9p;Mosaic tetrasomy 9p;Tetrasomy of short arm of chromosome 9		3310	http://rarediseases.info.nih.gov/gard/42/Tetrasomy-9p/resources/1
43			Mosaic trisomy 9	Mosaic trisomy chromosome 9;Trisomy 9 mosaicism			http://rarediseases.info.nih.gov/gard/43/Mosaic-trisomy-9/resources/1
44			Haim-Munk syndrome	Cochin Jewish disorder;HMS;Keratosis palmoplantaris - periodontopathia - onychogryposis;Keratosis palmoplantaris with periodontopathia and onychogryposis;Palmoplantar hyperkeratosis - periodontopathia - onychogryposis;Palmoplantar keratoderma - periodontopathia - onychogryposis	245010	2342	http://rarediseases.info.nih.gov/gard/44/Haim-Munk-syndrome/resources/1
45			Congenital varicella syndrome	Fetal effects of Chickenpox;Fetal effects of varicella zoster virus;Fetal varicella infection;Fetal varicella syndrome;Fetal varicella zoster syndrome;Varicella Embryopathy;Varicella virus antenatal infection		291	http://rarediseases.info.nih.gov/gard/45/Congenital-varicella-syndrome/resources/1
46			Corticobasal degeneration	CBGD;Cortical-Basal Ganglionic degeneration;Cortico-Basal Ganglionic Degeneration (CBGD)		278	http://rarediseases.info.nih.gov/gard/46/Corticobasal-degeneration/resources/1
47			"Crigler Najjar syndrome, type 1"	"Bilirubin uridinediphosphate glucuronosyltransferase deficiency;Bilirubin uridinediphosphate glucuronosyltransferase deficiency type 1;Bilirubin-UGT deficiency;Bilirubin-UGT deficiency type 1;Crigler-Najjar syndrome;Crigler-Najjar syndrome type 1;Crigler-Najjar syndrome, type I;Hereditary unconjugated hyperbilirubinemia;Hereditary unconjugated hyperbilirubinemia type 1;UGT deficiency;UGT deficiency type 1"	218800	205;79234	"http://rarediseases.info.nih.gov/gard/47/Crigler-Najjar-syndrome,-type-1/resources/1"
48			Mitochondrial complex IV deficiency	Complex 4 mitochondrial respiratory chain deficiency;Complex IV deficiency;COX deficiency;Cytochrome C oxidase deficiency;Deficiency of mitochondrial respiratory chain complex4	220110		http://rarediseases.info.nih.gov/gard/48/Mitochondrial-complex-IV-deficiency/resources/1
49			De Barsy syndrome	"Corneal clouding, cutis laxa and mental retardation;Cutis laxa - corneal clouding - intellectual disability;Cutis laxa growth deficiency syndrome;Progeroid syndrome of De Barsy;Progeroid syndrome, De Barsy type"	219150	2962	http://rarediseases.info.nih.gov/gard/49/De-Barsy-syndrome/resources/1
54			Duodenal atresia	Duodenal stenosis	223400	1203	http://rarediseases.info.nih.gov/gard/54/Duodenal-atresia/resources/1
59			Spinocerebellar ataxia 34	Erythrokeratodermia - ataxia;Erythrokeratodermia with ataxia;Giroux Barbeau Syndrome;SCA34;Spinocerebellar ataxia and erythrokeratodermia;Spinocerebellar ataxia type 34	133190	1955	http://rarediseases.info.nih.gov/gard/59/Spinocerebellar-ataxia-34/resources/1
60			Iridocorneal endothelial syndrome	ICE syndrome		64734	http://rarediseases.info.nih.gov/gard/60/Iridocorneal-endothelial-syndrome/resources/1
61			Femoral facial syndrome	"Femoral dysgenesis, bilateral;Femoral hypoplasia - unusual facies syndrome;Femoral hypoplasia unusual facies syndrome;Femoral-facial syndrome;FFS;FHUFS"	134780	1988	http://rarediseases.info.nih.gov/gard/61/Femoral-facial-syndrome/resources/1
62			Filippi syndrome	"Syndactyly type 1 - microcephaly - intellectual disability;Syndactyly type I with microcephaly and mental retardation;Unusual facial appearance, microcephaly, growth and mental retardation and syndactyly"	272440	3255	http://rarediseases.info.nih.gov/gard/62/Filippi-syndrome/resources/1
63			Forbes Albright syndrome	"Amenorrhea-galactorrhea, nonpuerperal;Galactorrhea-amenorrhea syndrome;Nonpuerperal galactorrhea"	104600		http://rarediseases.info.nih.gov/gard/63/Forbes-Albright-syndrome/resources/1
64			Fountain syndrome	"Deafness - skeletal dysplasia - coarse face with full lips;Deafness - skeletal dysplasia - lip granuloma;Deafness, skeletal dysplasia, lip granuloma;Intellectual disability, deafness, skeletal abnormalities, coarse face with full lips"	229120	3219	http://rarediseases.info.nih.gov/gard/64/Fountain-syndrome/resources/1
65			"Microcephaly, hiatal hernia and nephrotic syndrome"	"Galloway Mowat syndrome;Galloway syndrome;Galloway-Mowat syndrome;Hiatal Hernia-Microcephaly-Nephrosis, Galloway Type;Microcephaly - hiatus hernia - nephrotic syndrome;Microcephaly nephrosis syndrome;Nephrosis - neuronal dysmigration syndrome;Nephrosis neuronal dysmigration syndrome"	251300	2065	"http://rarediseases.info.nih.gov/gard/65/Microcephaly,-hiatal-hernia-and-nephrotic-syndrome/resources/1"
66			Gorlin Chaudhry Moss syndrome	"Craniofacial dysostosis - genital, dental, cardiac anomalies;Craniofacial dysostosis, patent ductus arteriosus, hypertrichosis, hypoplasia of labia majora, dental and eye anomalies;Cranofacial dysostosis-hypertrichosis-hypoplasia of labia majora;Dental and eye anomalies-patent ductus arteriosus-normal intelligence;GCM syndrome;Gorlin-Chaudhry-Moss syndrome"	233500	2095	http://rarediseases.info.nih.gov/gard/66/Gorlin-Chaudhry-Moss-syndrome/resources/1
67			"Gouty nephropathy, familial"	Familial juvenile gouty nephropathy;Familial juvenile hyperuricemic nephropathy;Familial nephropathy associated with hyperuricemia;Familial nephropathy with gout;Juvenile gouty nephropathy			"http://rarediseases.info.nih.gov/gard/67/Gouty-nephropathy,-familial/resources/1"
68			Hanhart syndrome	Aglossia adactylia;Aglossia-adactylia syndrome;Hypoglossia-hypodactylia syndrome;Hypoglossia-hypodactyly syndrome;Jussieu syndrome;Peromelia with micrognathia	103300 	989	http://rarediseases.info.nih.gov/gard/68/Hanhart-syndrome/resources/1
69			Hantavirus pulmonary syndrome	Four corners hantavirus;Hantavirus;Hantavirus-associated respiratory distress syndrome;HARDS;HPS			http://rarediseases.info.nih.gov/gard/69/Hantavirus-pulmonary-syndrome/resources/1
70			Hemangioma thrombocytopenia syndrome	Hemangioma-thrombocytopenia syndrome;Kasabach Merritt phenomenon;Kasabach Merritt syndrome;Kasabach-Merritt syndrome;KMP;Thrombocytopenia-hemangioma syndrome	141000	2330	http://rarediseases.info.nih.gov/gard/70/Hemangioma-thrombocytopenia-syndrome/resources/1
71			Human granulocytic ehrlichiosis	"HGE;Human ehrlichial infection, human granulocytic type"			http://rarediseases.info.nih.gov/gard/71/Human-granulocytic-ehrlichiosis/resources/1
72			Human monocytic ehrlichiosis	"HME;Human ehrlichial infection, human monocytic type"			http://rarediseases.info.nih.gov/gard/72/Human-monocytic-ehrlichiosis/resources/1
73			Immunodeficiency with hyper IgM type 1	"HIGM;HIGM1;Hyper IgM immunodeficiency, x-linked;Hyper IgM syndrome;Hyper IgM syndrome 1;Hyper-IgM syndrome due to CD40 ligand deficiency;Hyper-IgM syndrome due to CD40L deficiency;Hyper-IgM syndrome type 1;IHIS;X-linked hyper IgM syndrome;X-linked hyper-IgM syndrome;XHIGM;XHIM"	308230;605258;606843;608106;608184	101088	http://rarediseases.info.nih.gov/gard/73/Immunodeficiency-with-hyper-IgM-type-1/resources/1
76			Hypohidrotic ectodermal dysplasia	"Anhidrotic ectodermal dysplasia;Christ-Siemens-Touraine syndrome;CST syndrome;Ectodermal dysplasia anhidrotic;Ectodermal dysplasia, hypohidrotic;EDA;Familial hypercholanemia;HED;Hereditary hypercholanemia"			http://rarediseases.info.nih.gov/gard/76/Hypohidrotic-ectodermal-dysplasia/resources/1
79			Jansen type metaphyseal chondrodysplasia	"Metaphyseal chondrodysplasia Murk Jansen type;Metaphyseal chondrodysplasia, Jansen type;Murk Jansen type metaphyseal chondrodysplasia"	156400	33067	http://rarediseases.info.nih.gov/gard/79/Jansen-type-metaphyseal-chondrodysplasia/resources/1
80			Johanson Blizzard syndrome	"JBS;Johanson-Blizzard syndrome;Nasal alar hypoplasia, hypothyroidism, pancreatic achylia and congenital deafness"	243800	2315	http://rarediseases.info.nih.gov/gard/80/Johanson-Blizzard-syndrome/resources/1
81			Juberg Marsidi syndrome	"JMS;Juberg-Marsidi Mental Retardation Syndrome;Juberg-Marsidi syndrome;Mental Retradation, X-linked with Growth Delay, Deafness, Microgenitalism;X-linked hypogonadism gynecomastia mental retardation"	309580	93972	http://rarediseases.info.nih.gov/gard/81/Juberg-Marsidi-syndrome/resources/1
82			KBG syndrome	"Short stature - facial and skeletal anomalies - intellectual disability - macrodontia;Short stature, characteristic facies, macrodontia, mental retardation, and skeletal anomalies"	148050	2332	http://rarediseases.info.nih.gov/gard/82/KBG-syndrome/resources/1
83			Kenny-Caffey syndrome type 2	"Autosomal dominant Kenny-Caffey syndrome;Dwarfism, cortical thickening of tubular bones and transient hypocalcemia;KCS2;Kenny-Caffey syndrome, autosomal dominant"	127000	93325	http://rarediseases.info.nih.gov/gard/83/Kenny-Caffey-syndrome-type-2/resources/1
