GARD:0000004 ! Acanthocheilonemiasis	MESH:D063485 ! Acanthocheilonemiasis
GARD:0000008 ! Agnosia	DOID:4090 ! agnosia
GARD:0000030 ! Cholecystitis	DOID:1949 ! cholecystitis
GARD:0000043 ! Mosaic trisomy 9	Orphanet:99776 ! Mosaic trisomy 9
GARD:0000069 ! Hantavirus pulmonary syndrome	DOID:0050120 ! hemophagocytic lymphohistiocytosis
GARD:0000069 ! Hantavirus pulmonary syndrome	DOID:14472 ! hantavirus pulmonary syndrome
GARD:0000071 ! Human granulocytic ehrlichiosis	DOID:0050025 ! human granulocytic anaplasmosis
GARD:0000072 ! Human monocytic ehrlichiosis	DOID:0050026 ! human monocytic ehrlichiosis
GARD:0000076 ! Hypohidrotic ectodermal dysplasia	OMIM:224900 ! Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive
GARD:0000076 ! Hypohidrotic ectodermal dysplasia	OMIM:305100 ! hypohidrotic ectodermal dysplasia
GARD:0000076 ! Hypohidrotic ectodermal dysplasia	OMIM:614941 ! Ectodermal Dysplasia 11B, Hypohidrotic/Hair/Tooth Type, Autosomal Recessive
GARD:0000094 ! Mucolipidosis type 4	OMIM:252650 ! Mucolipidosis type 4
GARD:0000107 ! Pneumonia, eosinophilic	DOID:5870 ! eosinophilic pneumonia
GARD:0000112 ! Respiratory distress syndrome, infant	DOID:12716 ! newborn respiratory distress syndrome
GARD:0000120 ! Sennetsu Fever	DOID:0050485 ! sennetsu fever
GARD:0000130 ! Florid cystic endosalpingiosis of the uterus	MESH:C537064 ! Florid cystic endosalpingiosis of the uterus
GARD:0000131 ! Myeloid sarcoma	DOID:8683 ! myeloid sarcoma
GARD:0000149 ! Prostatic malacoplakia associated with prostatic abscess	MESH:C537244 ! Prostatic malacoplakia associated with prostatic abscess
GARD:0000151 ! Samson Gardner syndrome	MESH:C537230 ! Samson Gardner syndrome
GARD:0000152 ! Samson Viljoen syndrome	MESH:C537231 ! Samson Viljoen syndrome
GARD:0000153 ! Sanderson Fraser syndrome	MESH:C537232 ! Sanderson Fraser syndrome
GARD:0000154 ! Sandhaus Ben-Ami syndrome	MESH:C537233 ! Sandhaus Ben-Ami syndrome
GARD:0000161 ! Saul Wilkes Stevenson syndrome	MESH:C536617 ! Saul Wilkes Stevenson syndrome
GARD:0000171 ! Le Marec Bracq Picaud syndrome	MESH:C536997 ! Le Marec Bracq Picaud syndrome
GARD:0000172 ! Macrocephaly, mental retardation, short stature, spastic paraplegia and CNS malformations	Orphanet:2427 ! Macrocephaly - short stature - paraplegia
GARD:0000174 ! Macrogyria, pseudobulbar palsy and mental retardation	MESH:C537722 ! Macrogyria, pseudobulbar palsy and mental retardation
GARD:0000176 ! Macrophagic myofasciitis	Orphanet:592 ! Macrophagic myofasciitis
GARD:0000183 ! Bubonic plague	DOID:10773 ! bubonic plague
GARD:0000189 ! Elliott Ludman Teebi syndrome	MESH:C536204 ! Elliott Ludman Teebi syndrome
GARD:0000191 ! Kashani Strom Utley syndrome	MESH:C537010 ! Kashani Strom Utley syndrome
GARD:0000192 ! Karandikar Maria Kamble syndrome	Orphanet:1381 ! Cataract - intellectual disability - anal atresia - urinary defects
GARD:0000196 ! St Anthony's fire	MESH:D004881 ! Ergotism
GARD:0000200 ! Central serous chorioretinopathy	MESH:D056833 ! Central Serous Chorioretinopathy
GARD:0000201 ! Ascher's Syndrome	OMIM:109900 ! Ascher syndrome
GARD:0000201 ! Ascher's Syndrome	Orphanet:1256 ! Blepharophimosis - radioulnar synostosis
