?c	?clabel	?d	?dlabel
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4296>	"Venous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95622>	"Esophageal Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3086>	"Cavernous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27552>	"Multiple Lobular Capillary Hemangiomas"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3635>	"Intra-Abdominal Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7138>	"Solitary Mastocytoma of the Skin"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84269>	"Mastocytosis"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7138>	"Solitary Mastocytoma of the Skin"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4345>	"Myeloproliferative Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7138>	"Solitary Mastocytoma of the Skin"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9290>	"Myeloid Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7138>	"Solitary Mastocytoma of the Skin"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35501>	"Malignant Bone Marrow Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6477>	"Bone Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53963>	"Benign Fibrous Histiocytoma of Bone"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35765>	"Histiocytoma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5395>	"Colon Cavernous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4481>	"Cutaneous Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3716>	"Primitive Neuroectodermal Tumor"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4481>	"Cutaneous Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6492>	"Deep Benign Fibrous Histiocytoma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35765>	"Histiocytoma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45752>	"Cardiac Intramuscular Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6525>	"Synovial Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5211>	"Breast Epithelioid Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3950>	"Oral Mucosa Lobular Capillary Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7053>	"Cavernous Hemangioma of the Face"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4487>	"Tufted Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7393>	"Skin Epithelioid Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4546>	"Orbit Cavernous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49076>	"Cutaneous Fibrous Histiocytoma, Fibroblastic Variant"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35765>	"Histiocytoma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84621>	"Central Nervous System Cavernous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5432>	"Intracranial Cavernous Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5210>	"Breast Capillary Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27404>	"Childhood Central Nervous System Mature Teratoma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5448>	"Malignant Childhood Central Nervous System Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27404>	"Childhood Central Nervous System Mature Teratoma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4005>	"Childhood Malignant Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27404>	"Childhood Central Nervous System Mature Teratoma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9305>	"Malignant Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96514>	"Colorectal Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3716>	"Primitive Neuroectodermal Tumor"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96514>	"Colorectal Ganglioneuroma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3264>	"Embryonal Neoplasm"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27506>	"Hobnail Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49077>	"Cutaneous Fibrous Histiocytoma, Histiocytic Variant"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35765>	"Histiocytoma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6555>	"Deep Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3869>	"Liver Hemangioma"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3085>	"Hemangioma"
<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36264>	"Metastatic Benign Neoplasm"	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3261>	"Metastatic Neoplasm"
